phrase;line;line, lemmas;RuSentiLex;EmoLex;LinisCrowd;ChenSkiena;ProductSentiRus;SentiRusColl
;"Путин предложил использовать наработки """"Сириуса"""" в школах по всей России""
";путин предлагать использовать наработка сириус в школа по весь россия;0;0;-1;1;0;0
;"Нужно объяснять людям необходимость обязательной вакцинации, заявил Путин""
";нужно объяснять человек необходимость обязательный вакцинация заявлять путин;1;1;0;0;-1;0
;"Путин согласился обсудить идею Лаврова о создании Дня поисковика
";путин соглашаться обсуждать идея лавров о создание день поисковик;0;0;0;-1;0;0
;"Путин призвал подтянуть доходы некоторых категорий россиян на фоне инфляции
";путин призывать подтягивать доход некоторый категория россиянин на фон инфляция;-1;-1;-1;0;0;0
;"Путин призвал подготовить предложения по развитию Сибири, озвученные Шойгу""
";путин призывать подготовить предложение по развитие сибирь озвучивать шойгу;0;1;0;1;0;0
;"Путин предложил выплатить всем пенсионерам по 10 тысяч рублей
";путин предлагать выплачивать весь пенсионер по тысяча рубль;0;0;0;1;0;0
;"Путин призвал выплатить пенсионерам еще по десять тысяч рублей
";путин призывать выплачивать пенсионер еще по десять тысяча рубль;0;0;0;0;0;0
;"Путин предложил выплатить военным по 15 тысяч рублей
";путин предлагать выплачивать военный по тысяча рубль;0;0;0;0;0;0
;"Шойгу заявил о возможности создать новые города до 2030 года
";шойгу заявлять о возможность создавать новый город до год;0;0;0;1;-1;0
;"Путин принял участие в церемонии поднятия российского флага в Парке Победы
";путин принимать участие в церемония поднятие российский флаг в парк победа;1;1;0;0;-1;0
;"В России выявили 20,5 тысячи новых случаев COVID""
";в россия выявлять тысяча новый случай;0;0;0;0;0;0
;"В Москве за сутки госпитализировали 497 человек с COVID-19
";в москва за сутки госпитализировать человек с;0;1;0;0;0;0
;"Оперштаб назвал регионы с наименьшим темпом прироста больных COVID-19
";оперштаб называть регион с маленький темп прирост больной;-1;-1;1;1;-1;0
;"Глава СПЧ призвал """"оставить в покое"""" памятник Дзержинскому""
";глава призывать оставлять в покой памятник дзержинский;0;0;0;0;-1;0
;"В России за сутки умерли 762 пациента с коронавирусом
";в россия за сутки умирать пациент с коронавирус;0;1;-1;0;-1;0
;"В Москве выявили 1661 новый случай COVID-19
";в москва выявлять новый случай;0;0;0;0;0;0
;"В России за сутки выписали 15 414 человек после лечения от COVID-19
";в россия за сутки выписывать человек после лечение от;-1;1;0;1;0;0
;"В России за сутки выявили 20 564 случая заражения коронавирусом
";в россия за сутки выявлять случай заражение коронавирус;-1;-1;0;-1;0;0
;"Комфортная свежесть"""". Москвичам рассказали о погоде в воскресенье""
";комфортный свежесть москвич рассказывать о погода в воскресение;1;0;1;0;-1;0
;"Завершились основные работы по благоустройству у станции БКЛ """"Зюзино""""""
";завершаться основной работа по благоустройство у станция зюзино;1;1;0;1;0;0
;"В Китае рассказали, как правильно вести себя в гостях у россиян""
";в китай рассказывать как правильно вести себя в гость у россиянин;0;1;0;1;-1;0
;"Умерла княгиня Лихтенштейна Мария
";умирать княгиня лихтенштейн мария;0;0;-1;-1;-1;0
;"Депутат: в Москве не обсуждают установку памятника Дзержинскому на Лубянке
";депутат в москва не обсуждать установка памятник дзержинский на лубянка;0;1;0;-1;-1;0
;"Эксперты рассказали, в каких сферах не любят отпускать сотрудниц в декрет""
";эксперт рассказывать в какой сфера не любить отпускать сотрудница в декрет;1;1;1;1;-1;0
;"Назван простой способ снизить уровень холестерина без лекарств
";называть простой способ снижать уровень холестерин без лекарство;-1;1;0;1;-1;0
;"Назван простой способ защитить номер банковской карты от мошенников
";называть простой способ защищать номер банковский карта от мошенник;-1;1;0;1;-1;0
;"Психолог рассказал о простом способе защитить номер банковской карты
";психолог рассказывать о простой способ защищать номер банковский карта;-1;1;1;1;-1;0
;"Названы приложения, “съедающие” память смартфона""
";называть приложение съедать память смартфон;0;0;1;0;-1;0
;"В России отменен обязательный техосмотр для получения ОСАГО
";в россия отменять обязательный техосмотр для получение осаго;1;0;0;0;-1;0
;"Врач рассказал, почему надо успеть вакцинироваться в августе""
";врач рассказывать почему надо успевать вакцинироваться в август;0;1;0;0;-1;0
;"Врач объяснил, почему лучше сделать прививку от COVID-19 до сентября""
";врач объяснять почему хорошо сделать прививка от до сентябрь;1;1;1;1;-1;0
;"В России отменили обязательный техосмотр для получения ОСАГО
";в россия отменять обязательный техосмотр для получение осаго;1;0;0;0;-1;0
;"Автомобилистам напомнили спасительные правила езды по трассе
";автомобилист напоминать спасительный правило езда по трасса;1;0;0;0;-1;0
;"Хуснуллин рассказал о работе по добыче воды для Крыма в Азовском море
";хуснуллин рассказывать о работа по добыча вода для крым в азовский море;0;1;0;0;0;0
;"Аксенов рассказал о ситуации с водой в Крыму
";аксенов рассказывать о ситуация с вода в крым;0;0;0;0;0;0
;"В Крыму развернули километровый флаг России
";в крым развертывать километровый флаг россия;0;0;0;0;0;0
;"Ученые узнали о способности мозга предсказывать будущее
";ученый узнавать о способность мозг предсказывать будущее;0;1;0;1;-1;0
;"Путин осмотрел Нижегородский кремль после реконструкции
";путин осматривать нижегородский кремль после реконструкция;0;1;0;0;0;0
;"Путин поздравил жителей Нижнего Новгорода с 800-летием города
";путин поздравлять житель нижний новгород с летие город;0;-1;0;-1;-1;0
;"Путин поздравил жителей Нижнего Новгорода с 800-летием города
";путин поздравлять житель нижний новгород с летие город;0;-1;0;-1;-1;0
;"Сдавшая ЕГЭ в восемь лет девочка собралась окончить МГУ за два года
";сдавать егэ в восемь год девочка собираться оканчивать мгу за два год;0;0;0;-1;-1;0
;"У здания ФСБ задержали пикетчиков в поддержку СМИ-иноагентов
";у здание фсб задерживать пикетчик в поддержка сми иноагент;1;0;0;0;-1;0
;"Экономика Нижнего Новгорода изменится благодаря туризму, заявил Чернышенко""
";экономика нижний новгород изменяться благодаря туризм заявлять чернышенко;0;-1;0;-1;-1;0
;"Путин посетил центральный парк в Нижнем Новгороде 8:18
";путин посещать центральный парк в нижний новгород;0;-1;0;-1;-1;0
;"Путин прибыл в Нижний Новгород на торжества к 800-летию города
";путин прибывать в нижний новгород на торжество к летие город;1;-1;0;0;-1;0
;"Мэр Омска взяла опекунство над рысью Кузей из Большереченского зоопарка
";мэр омск взять опекунство над рысь кузя из большереченский зоопарк;0;1;0;0;0;0
;"Водителей предупредили об изменениях в дорожных знаках с 1 сентября
";водитель предупреждать об изменение в дорожный знак с сентябрь;0;-1;0;0;-1;0
;"В Свердловской области зафиксировали температурный рекорд
";в свердловский область зафиксировать температурный рекорд;0;0;0;0;0;0
;"Узбекистан зарегистрировал """"Спутник V"""" местного произодства""
";узбекистан зарегистрировать спутник местный произодство;0;0;1;0;0;0
;"Четвертый сектор""""* внесли в реестр НКО-иноагентов""
";четвертый сектор вносить в реестр нко иноагент;0;0;0;0;0;0
;"Городские службы обновили всю дорожную разметку в Москве
";городской служба обновлять весь дорожный разметка в москва;0;1;0;1;-1;0
;"Путин примет участие в церемонии поднятия российского флага в Парке Победы
";путин принимать участие в церемония поднятие российский флаг в парк победа;1;1;0;0;-1;0
;"Жителям юга России пообещали """"природное проклятье""""""
";житель юг россия пообещать природный проклятие;-1;-1;-1;-1;0;0
;"Украинские журналисты закрытых телеканалов обратились к Меркель
";украинский журналист закрытый телеканал обращаться к меркель;0;1;-1;1;-1;0
;"Собянин назвал сроки полного запуска МЦД-4
";собянин называть срок полный запуск;0;1;0;0;-1;0
;"Москвичи стали чаще брать животных из городских приютов
";москвич становиться часто брать животное из городской приют;0;0;0;-1;-1;0
;"Мурашко: 85% летальных исходов у пациентов с COVID-19 приходится на пожилых
";мурашко летальный исход у пациент с приходиться на пожилой;-1;0;-1;1;-1;0
;"Жителей Приморского края предупредили о надвигающемся штормовом ударе
";житель приморский край предупреждать о надвигаться штормовой удар;-1;-1;0;-1;-1;0
;"Мурашко: эксперты разрешили использовать """"Спутник Лайт"""" для пожилых""
";мурашко эксперт разрешать использовать спутник лайт для пожилой;0;1;0;0;-1;0
;"В Москве за сутки госпитализировали 590 человек с COVID-19
";в москва за сутки госпитализировать человек с;0;1;0;0;0;0
;"В России выявили ровно 21 тысячу новых случаев коронавируса
";в россия выявлять ровно тысяча новый случай коронавирус;0;0;0;1;0;0
;"В России за сутки 20 647 человек выздоровели от COVID-19
";в россия за сутки человек выздоравливать от;1;1;1;0;0;0
;"В Москве выявили 1852 новых случая COVID-19
";в москва выявлять новый случай;0;0;0;0;0;0
;"Оперштаб назвал регион с наименьшим темпом прироста случаев COVID-19
";оперштаб называть регион с маленький темп прирост случай;0;-1;1;0;-1;0
;"В России за сутки выявили 21 000 случаев заражения коронавирусом
";в россия за сутки выявлять случай заражение коронавирус;-1;-1;0;-1;0;0
;"Приюты для животных ожидают рост числа брошенных четвероногих
";приют для животное ожидать рост число бросать четвероногий;0;1;-1;-1;-1;0
;"Мошенники воспользовались схемой с """"бесплатной пиццей"""" от крупных банков""
";мошенник воспользоваться схема с бесплатный пицца от крупный банк;0;-1;0;1;-1;0
;"Правительство одобрило дополнительные гарантии по соцподдержке детей-сирот
";правительство одобрять дополнительный гарантия по соцподдержка ребенок сирота;0;0;0;1;-1;0
;"Москвичам пообещали дожди с грозами и до плюс 23 градусов в субботу
";москвич пообещать дождь с гроза и до плюс градус в суббота;0;0;0;0;0;0
;"На северо-востоке Москвы появится новый скейт-парк
";на северо-восток москва появляться новый скейт парк;0;0;0;0;-1;0
;"Чернышенко поздравил жителей Нижнего Новгорода с 800-летием города
";чернышенко поздравлять житель нижний новгород с летие город;0;-1;0;-1;-1;0
;"Эксперт рассказал о самых опасных уязвимостях смартфонов
";эксперт рассказывать о самый опасный уязвимость смартфон;-1;-1;-1;0;0;0
;"Нас избили гаишники"""". Семье сибиряков грозит тюрьма после ссоры с соседями""
";мы избивать гаишник семья сибиряк грозить тюрьма после ссора с сосед;-1;-1;-1;-1;0;0
;"Красивый не значит вкусный: как выбирать персики
";красивый не значить вкусный как выбирать персик;1;1;1;1;-1;0
;"Агроном назвал признак, отличающий хорошие персики""
";агроном называть признак отличать хороший персик;1;0;1;1;-1;0
;"В Роспотребнадзоре дали совет потерявшим аппетит после COVID-19
";в роспотребнадзор давать совет потерять аппетит после;0;-1;0;-1;-1;0
;"Кинолог рассказал, что нельзя делать при виде бродячей собаки""
";кинолог рассказывать что нельзя делать при вид бродячий собака;0;0;0;1;-1;0
;"Минюст внес телеканал """"Дождь""""* в реестр СМИ-иноагентов""
";минюст вносить телеканал дождь в реестр сми иноагент;0;0;0;0;0;0
;"Биолог рассказал, когда смертность от COVID-19 пойдет вниз""
";биолог рассказывать когда смертность от пойти вниз;-1;-1;-1;0;-1;0
;"Ученый предположил, что стало причиной роста смертности от COVID-19""
";ученый предполагать что становиться причина рост смертность от;-1;1;-1;1;0;0
;"Эксперт предупредил о """"вредных"""" условиях кредитного договора""
";эксперт предупреждать о вредный условие кредитный договор;-1;-1;-1;0;-1;0
;"Глава Татарстана рассказал, как избежать трагедий вроде стрельбы в Казани""
";глава татарстан рассказывать как избегать трагедия вроде стрельба в казань;-1;-1;-1;-1;0;0
;"Tesla Bot: полезный помощник или..? Маск намекнул на создание робота
";полезный помощник или маск намекать на создание робот;1;1;1;1;1;0
;"В Белгородской области появятся турмаршруты для пенсионеров
";в белгородский область появляться турмаршрут для пенсионер;0;0;0;-1;-1;0
;"Фальков рассказал о требованиях к студентам из-за пандемии
";фальк рассказывать о требование к студент из-за пандемия;-1;-1;0;0;0;0
;"Билирубин в крови: что означают повышенные показатели
";билирубин в кровь что означать повышенный показатель;0;0;0;0;-1;0
;"Продукты для повышения гемоглобина в крови: общие советы
";продукт для повышение гемоглобин в кровь общий совет;0;0;0;1;-1;0
;"Обязательную вакцинацию преподавателей вводит регион, сообщило Минобрнауки""
";обязательный вакцинация преподаватель вводить регион сообщать минобрнаука;1;1;0;0;-1;0
;"Глава Белгородской области рассказал жителям региона о повышении зарплат
";глава белгородский область рассказывать житель регион о повышение зарплата;0;1;0;1;0;0
;"Губернатор ЯНАО пригрозил подчиненным """"последним китайским предупреждением""""""
";губернатор янао пригрозить подчиненный последний китайский предупреждение;0;-1;0;-1;-1;0
;"Минздрав рассказал о модернизации первичного звена здравоохранения
";минздрав рассказывать о модернизация первичный звено здравоохранение;1;1;0;0;0;0
;"Минтруд уточнил правила получения отцами маткапитала
";минтруд уточнять правило получение отец маткапитал;0;0;0;1;0;0
;"Мозг порадуется"""". Психолог объяснила, почему диету важно иногда нарушать""
";мозг порадоваться психолог объяснять почему диета важно иногда нарушать;0;0;-1;-1;-1;0
;"Бывший сотрудник МВД объяснил, как разговаривать с шантажистами""
";бывший сотрудник мвд объяснять как разговаривать с шантажист;-1;1;-1;0;-1;0
;"Телевидение Салехарда прекращает вещание и """"переезжает"""" в интернет""
";телевидение салехард прекращать вещание и переезжать в интернет;0;-1;0;0;0;0
;"Киселев открыл 19-й фестиваль Koktebel Jazz Party
";киселев открывать й фестиваль;0;1;0;0;-1;0
;"Главред """"Дождя""""* узнал о признании канала иноагентом из публикации Минюста""
";главред дождь узнавать о признание канал иноагент из публикация минюст;0;-1;1;0;-1;0
;"Голикова призвала беременных вакцинироваться от коронавируса
";голикова призывать беременный вакцинироваться от коронавирус;0;0;0;0;0;0
;"В России снизилась младенческая смертность
";в россия снижаться младенческий смертность;-1;-1;-1;-1;0;0
;"Власти России будут делать все для искоренения коррупции, заявил Путин""
";власть россия быть делать весь для искоренение коррупция заявлять путин;-1;-1;-1;0;-1;0
;"Телеканал """"Дождь""""* признали СМИ-иноагентом""
";телеканал дождь признавать сми иноагент;1;0;0;0;-1;0
;"Минюст включил телеканал """"Дождь""""* в реестр СМИ-иноагентов""
";минюст включать телеканал дождь в реестр сми иноагент;0;0;0;-1;-1;0
;"Олег Лурье о """"коктейле"""" из вакцин, коррупции, Навальном и Меркель. ВИДЕО""
";олег лурье о коктейль из вакцина коррупция навальный и меркель видео;-1;0;-1;-1;-1;0
;"Без коньков?"""". Поклонники Рудковской посмеялись над новостью о ее сыне""
";без конек поклонник рудковский посмеяться над новость о ее сын;-1;0;0;1;-1;0
;"Лимит на революции Россия исчерпала в 20-м веке, заявил Путин""
";лимит на революция россия исчерпывать в м век заявлять путин;-1;0;0;0;0;0
;"Путин рассказал о развитии политической системы в России
";путин рассказывать о развитие политический система в россия;0;0;0;0;0;0
;"Путин прокомментировал дело Навального
";путин прокомментировать дело навальный;0;0;0;0;0;0
;"Проекты RT к 75-летию Победы завоевали четыре награды премии Red Dot
";проект к летие победа завоевывать четыре награда премия;1;1;0;1;0;0
;"Сбор лишних персональных данных о гражданах предложили запретить
";сбор лишний персональный данные о гражданин предлагать запрещать;-1;0;-1;-1;-1;0
;"Шойгу пристыдил мэра Ялты за плачевное состояние военкомата
";шойгу пристыжать мэр ялта за плачевный состояние военкомат;-1;1;-1;1;0;0
;"Путину доверяют более 62% россиян, сообщили во ВЦИОМ""
";путин доверять много россиянин сообщать во вциом;1;0;-1;0;-1;0
;"Мурашко рассказал о запасе вакцин от коронавируса в регионах
";мурашко рассказывать о запас вакцина от коронавирус в регион;0;1;-1;-1;0;0
;"В Минздраве назвали число россиян, привившихся от коронавируса""
";в минздрав называть число россиянин прививаться от коронавирус;0;0;0;0;-1;0
;"Глава саратовского Минздрава резко ответил противнице вакцинации детей
";глава саратовский минздрав резко отвечать противница вакцинация ребенок;-1;1;0;0;-1;0
;"Шойгу заступился за """"униженных и оскорбленных"""" посетителей военкоматов""
";шойгу заступаться за унижать и оскорблять посетитель военкомат;-1;0;-1;-1;0;0
;"В Ново-Переделкино появится новое общественное пространство
";в новый переделкино появляться новый общественный пространство;0;0;0;1;-1;0
;"В Минздраве РФ заявили о возросшей заболеваемости COVID-19 у детей
";в минздрав рф заявлять о возрастать заболеваемость у ребенок;-1;0;-1;0;0;0
;"Роскомнадзор потребовал удалить приложение """"Навальный""""""
";роскомнадзор потребовать удалять приложение навальный;0;0;0;0;-1;0
;"Умер заслуженный артист РСФСР Сиин-оол Оюн
";умирать заслуживать артист рсфср сиин оол оюн;1;1;-1;-1;-1;0
;"В РПЦ прокомментировали акцию против абортов в Серове
";в рпц прокомментировать акция против аборт в серов;-1;-1;0;-1;0;0
;"Гинцбург рассказал, какие вакцины лучше защищают от коронавируса""
";гинцбург рассказывать какой вакцина хорошо защищать от коронавирус;0;1;0;1;-1;0
;"Фонд Карелина нашел мальчика, выжившего во время убийств нацистами в Ейске""
";фонд карелин находить мальчик выживать во время убийство нацист в ейск;-1;-1;-1;-1;-1;0
;"Россияне считают, что гаджеты упрощают жизнь, показало исследование""
";россиянин считать что гаджет упрощать жизнь показывать исследование;0;1;1;1;-1;0
;"Дети стали заболевать COVID-19 чаще, заявил Мурашко""
";ребенок становиться заболевать часто заявлять мурашко;-1;1;-1;0;0;0
;"Народ пошел"""". Академик РАН оценил рейтинг регионов по вакцинации""
";народ пойти академик ран оценивать рейтинг регион по вакцинация;1;-1;0;1;-1;0
;"Американские вокалисты отметили приветливую атмосферу Koktebel Jazz Party
";американский вокалист отмечать приветливый атмосфера;1;1;1;0;-1;0
;"Пляжная зона на Koktebel Jazz Party в Крыму работать не будет
";пляжный зона на в крым работать не быть;0;0;0;1;0;0
;"Названы лучшие парки Московской области
";называть хороший парк московский область;1;0;1;1;-1;0
;"Суд отменил штраф пермской активистке, записавшей видеообращение к Путину""
";суд отменять штраф пермский активистка записывать видеообращение к путин;-1;-1;0;0;-1;0
;"Актер из """"Моей прекрасной няни"""" попался на уловку мошенников""
";актер из мой прекрасный няня попадаться на уловка мошенник;-1;0;-1;0;-1;0
;"Подняла руку на женщину. Бритни Спирс заподозрили в неадекватном поведении
";подымать рука на женщина бритни спирс заподозривать в неадекватный поведение;-1;-1;-1;1;0;0
;"Сменит ориентацию. Портал OnlyFans откажется от порнографии
";сменить ориентация портал отказываться от порнография;-1;-1;-1;-1;-1;0
;"К новому учебному году в Удмуртии модернизировали столовые 113 школ
";к новый учебный год в удмуртия модернизировать столовый школа;1;0;-1;1;0;0
;"В Мурманске капитально отремонтируют одну из старейших школ
";в мурманск капитальный отремонтировать один из старый школа;0;0;-1;-1;-1;0
;"Дептранс объявил дату открытия станции метро """"Проспект Вернадского""""""
";дептранс объявлять дата открытие станция метро проспект вернадский;0;1;0;0;-1;0
;"Крайне перегружены"""". Эксперт оценила работу врачей, занятых вакцинацией""
";крайне перегружать эксперт оценивать работа врач занимать вакцинация;0;1;0;-1;-1;0
;"Египет гарантирует полную безопасность российских туристов, заявил посол""
";египет гарантировать полный безопасность российский турист заявлять посол;1;1;1;1;-1;0
;"Меркель возложила цветы к Могиле Неизвестного Солдата
";меркель возлагать цветок к могила неизвестный солдат;0;-1;0;0;-1;0
;"Зона отдыха со скейт-парком и памп-треком появится в Новокосино в Москве
";зона отдых со скейт парок и пампа трек появляться в новокосино в москва;0;1;0;0;-1;0
;"Иностранные студенты смогут привиться от коронавируса в России
";иностранный студент смочь прививаться от коронавирус в россия;0;0;0;0;-1;0
;"Иностранным студентам разрешат вернуться в Россию на учебу
";иностранный студент разрешать вернуться в россия на учеба;0;0;0;-1;-1;0
;"Эксперт назвал способы ускорения работы смартфона
";эксперт называть способ ускорение работа смартфон;0;1;0;1;0;0
;"В Ростовской области утвердили стратегию """"Цифровой трансформации""""""
";в ростовский область утверждать стратегия цифровой трансформация;0;1;0;0;-1;0
;"В Анапе начали выплачивать компенсации пострадавшим в результате ЧС
";в анапа начинать выплачивать компенсация пострадавший в результат;0;0;-1;1;0;0
;"В Приамурье первоклассники получат """"губернаторский портфель""""""
";в приамурье первоклассник получать губернаторский портфель;0;1;0;1;-1;0
;"Ъ"""": производители похоронной продукции подняли цены на гробы и кресты""
";производитель похоронный продукция подымать цена на гроб и крест;-1;-1;-1;1;0;0
;"В России за полгода уволили 300 коррупционеров
";в россия за полгода увольнять коррупционер;-1;0;-1;0;0;0
;"Минприроды запретит смешивать вторсырье с другими отходами в мусоровозах
";минприроды запрещать смешивать вторсырье с другой отход в мусоровоз;-1;-1;-1;-1;-1;0
;"В Ереване задержали ворвавшегося к букмекерам вооруженного мужчину
";в ереван задерживать ворваться к букмекер вооруженный мужчина;0;-1;0;-1;0;0
;"В Союзе виноделов назвали прогнозы о ценах на виноград преждевременными
";в союз винодел называть прогноз о цена на виноград преждевременный;-1;0;-1;1;0;0
;"АЗС в сахалинском Холмске ограничили продажу топлива местным жителям
";азс в сахалинский холмск ограничивать продажа топливо местный житель;0;-1;1;-1;-1;0
;"В Москве за сутки госпитализировали 616 пациентов с COVID-19
";в москва за сутки госпитализировать пациент с;0;1;0;1;0;0
;"В Крыму начал работу пресс-центр Koktebel Jazz Party
";в крым начинать работа пресс-центр;0;1;0;1;0;0
;"В России за сутки выписали 20 351 человека после лечения от COVID-19
";в россия за сутки выписывать человек после лечение от;-1;1;0;1;0;0
;"В России за сутки умерли 785 пациентов с COVID-19
";в россия за сутки умирать пациент с;0;1;-1;0;-1;0
;"Оперштаб назвал регион с наименьшим темпом прироста случаев COVID-19
";оперштаб называть регион с маленький темп прирост случай;0;-1;1;0;-1;0
;"В России выявили 20 992 новых случая заражения коронавирусом
";в россия выявлять новый случай заражение коронавирус;-1;-1;0;-1;0;0
;"В МВД рассказали, что должно насторожить в телефонной беседе с незнакомцами""
";в мвд рассказывать что должно настораживать в телефонный беседа с незнакомец;0;-1;-1;-1;-1;0
;"Психолог рассказала, как """"перезагрузить"""" отношения в семье после COVID-19""
";психолог рассказывать как перезагружать отношение в семья после;0;0;0;1;-1;0
;"В московских центрах госуслуг отменили предзапись
";в московский центр госуслуга отменять предзапись;0;1;0;-1;-1;0
;"Глава Адыгеи ответил на 69 вопросов во время прямой линии
";глава адыгея отвечать на вопрос во время прямой линия;1;0;0;-1;-1;0
;"Коммунальный флот собрал более 400 тонн мусора с водной акватории Москвы
";коммунальный флот собирать более тонна мусор с водный акватория москва;-1;0;0;0;-1;0
;"Самарская компания работает над проектом по очистке Волги от водорослей
";самарский компания работать над проект по очистка волга от водоросль;0;1;0;1;0;0
;"Певица Лана Дель Рей запретила выпускать свои песни посмертно
";певица лана дель рей запрещать выпускать свой песня посмертно;-1;-1;-1;-1;-1;0
;"Голикова оценила готовность школ к новому учебному году
";голиков оценивать готовность школа к новый учебный год;1;0;-1;1;-1;0
;"Беспилотники """"Орион"""" оснастят системами радиоэлектронной борьбы""
";беспилотник орион оснащать система радиоэлектронный борьба;0;-1;0;0;0;0
;"В Минздраве рассказали о риске преждевременных родов у пациенток с COVID-19
";в минздрав рассказывать о риск преждевременный род у пациентка с;-1;-1;0;-1;0;0
;"Учителя назвали предметы, которые стоит добавить в школьную программу""
";учитель называть предмет который стоить добавлять в школьный программа;0;0;0;0;-1;0
;"В России разрабатывают дроны, способные возвращаться на самолет-носитель""
";в россия разрабатывать дрон способный возвращаться на самолет носитель;0;0;0;0;-1;0
;"Москвичам рассказали о погоде в пятницу
";москвич рассказывать о погода в пятница;0;0;0;0;0;0
;"Москвичи активно оформляют перепланировку онлайн, заявил Бирюков""
";москвич активно оформлять перепланировка онлайн заявлять бирюков;-1;0;0;0;-1;0
;"Росстат подсчитал стоимость набора вещей для первоклассника
";росстат подсчитывать стоимость набор вещь для первоклассник;0;1;0;1;-1;0
;"Жителям Приморья напомнили о недопустимости """"панибратсва"""" с белухами""
";житель приморье напоминать о недопустимость панибратсва с белуха;-1;0;0;0;-1;0
;"Плюс семьдесят на солнце: как выживают в самой жаркой точке России
";плюс семьдесят на солнце как выживать в самый жаркий точка россия;1;1;-1;1;-1;0
;"На """"Прохоровском поле"""" открывается выставка личных вещей маршалов Победы""
";на прохоровский поле открываться выставка личный вещь маршал победа;1;1;0;1;-1;0
;"Аналитики назвали самое затратное для россиян время года
";аналитик называть самый затратный для россиянин время год;0;1;0;0;0;0
;"Телефонные мошенники придумали новую уловку для обмана россиян
";телефонный мошенник придумывать новый уловка для обман россиянин;-1;-1;-1;-1;-1;0
;"Приморье получит 1,3 миллиарда рублей выплат малоимущим с детьми 3-7 лет""
";приморье получать миллиард рубль выплата малоимущий с ребенок год;-1;1;0;1;-1;0
;"Медвежонок в приморском нацпарке """"перевернул мир"""", играя с фотоловушкой""
";медвежонок в приморский нацпарк перевертывать мир играть с фотоловушка;0;1;0;1;0;0
;"Почему наша кожа стареет раньше времени?
";почему наш кожа стареть рано время;0;0;0;-1;-1;0
;"ФСБ рассказала, как японцы в 1945 году убивали советских узников """"Хогоина""""""
";фсб рассказывать как японец в год убивать советский узник хогоин;-1;-1;-1;-1;-1;0
;"Россиянам рассказали, как сэкономить в магазине""
";россиянин рассказывать как сэкономить в магазин;0;0;0;1;-1;0
;"В Росгидромете назвали регионы с самыми высокими климатическими рисками
";в росгидромет называть регион с самый высокий климатический риска;-1;-1;0;0;-1;0
;"Эксперт перечислила способы разумной экономии при покупке продуктов
";эксперт перечислять способ разумный экономия при покупка продукт;1;1;1;1;-1;0
;"РБК: Белгородская область стала регионом с самой высокой долей привитых
";белгородский область становиться регион с самый высокий доля прививать;0;0;0;1;-1;0
